Date,base_delay_ret,gate,ret
2024-05-07,0.0142871175472801,1.0,0.0142871175472801
2024-05-08,0.0204540483185042,1.0,0.0204540483185042
2024-05-09,-0.0239729450550602,1.0,-0.0239729450550602
2024-05-10,-0.056427939001943,0.2,-0.0112855878003886
2024-05-13,-0.0682170557792663,0.2,-0.013643411155853262
2024-05-14,-0.0889884175987,0.2,-0.017797683519740003
2024-05-15,0.0051106348959308,1.0,0.0051106348959308
2024-05-16,0.00234559678008,1.0,0.00234559678008
2024-05-17,-0.0340323678702073,0.2,-0.006806473574041461
2024-05-20,-0.0351588801502499,0.2,-0.00703177603004998
2024-05-21,0.0020834805216599,1.0,0.0020834805216599
2024-05-22,-0.0193471488069827,1.0,-0.0193471488069827
2024-05-23,-0.0450684760181338,0.2,-0.009013695203626762
2024-05-24,-0.0498639315130203,0.2,-0.00997278630260406
2024-05-27,0.0254401343319877,1.0,0.0254401343319877
2024-05-28,-0.0570043457927329,0.2,-0.01140086915854658
2024-05-29,-0.0671581312170509,0.2,-0.013431626243410181
2024-05-30,-0.0504039574013994,0.2,-0.01008079148027988
2024-05-31,-0.0424821802744388,0.2,-0.00849643605488776
2024-06-03,-0.0797318012064469,0.2,-0.01594636024128938
2024-06-04,-0.0137200509649395,0.2,-0.0027440101929879003
2024-06-05,0.2741954247961653,1.0,0.2741954247961653
2024-06-06,-0.0216872259514013,1.0,-0.0216872259514013
2024-06-07,0.0553019906283556,1.0,0.0553019906283556
2024-06-11,-0.021108415986095,1.0,-0.021108415986095
2024-06-12,0.0282276966474297,1.0,0.0282276966474297
2024-06-13,0.0403892479223079,1.0,0.0403892479223079
2024-06-14,-0.0214499406022605,1.0,-0.0214499406022605
