Date,ret,limit_weight_share,one_line_like_weight_share,n_limit,n_one_line_like,protocol
2025-03-18,0.0005972044286647098,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-19,-0.0026355975921032782,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-20,0.003873985962285219,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-21,-0.0567358847093917,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-24,-0.06849173104555029,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-25,-0.05784152823981033,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-26,-0.03156534166777938,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-27,-0.06965088264873087,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-28,0.08014544221004517,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-03-31,-0.0013312955323010617,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-01,0.016414875170317766,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-02,0.18911612167193323,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-03,0.05934819614372003,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-07,0.05994613218765349,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-08,0.13382699176970198,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-09,0.053843611447693944,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-10,-0.032451273626708556,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-11,0.02166939308045876,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-14,-0.048102116001347096,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-15,-0.028525623603248625,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-16,-0.010818591048079989,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-04-17,-0.012743703793731286,0.0,0.0,0.0,0.0,limit_up_haircut_20
