kind,model,n_runs,mean_ret_mean,ann_sharpe_mean,maxdd_mean,worst5_mean,seed
random_top30_seed,Random Top30 seed 202683,1,0.011799,2.499544,-0.56966,-0.057943,202683.0
random_top30_seed,Random Top30 seed 202684,1,0.011799,2.499544,-0.56966,-0.057943,202684.0
random_top30_seed,Random Top30 seed 202685,1,0.011799,2.499544,-0.56966,-0.057943,202685.0
random_top30_seed,Random Top30 seed 202686,1,0.011799,2.499544,-0.56966,-0.057943,202686.0
random_top30_seed,Random Top30 seed 202687,1,0.011799,2.499544,-0.56966,-0.057943,202687.0
random_top30_seed,Random Top30 seed 202688,1,0.011799,2.499544,-0.56966,-0.057943,202688.0
random_top30_seed,Random Top30 seed 202689,1,0.011799,2.499544,-0.56966,-0.057943,202689.0
random_top30_seed,Random Top30 seed 202690,1,0.011799,2.499544,-0.56966,-0.057943,202690.0
random_top30_seed,Random Top30 seed 202691,1,0.011799,2.499544,-0.56966,-0.057943,202691.0
random_top30_seed,Random Top30 seed 202692,1,0.011799,2.499544,-0.56966,-0.057943,202692.0
random_top30_seed,Random Top30 seed 202693,1,0.011799,2.499544,-0.56966,-0.057943,202693.0
random_top30_seed,Random Top30 seed 202694,1,0.011799,2.499544,-0.56966,-0.057943,202694.0
random_top30_seed,Random Top30 seed 202695,1,0.011799,2.499544,-0.56966,-0.057943,202695.0
random_top30_seed,Random Top30 seed 202696,1,0.011799,2.499544,-0.56966,-0.057943,202696.0
random_top30_seed,Random Top30 seed 202697,1,0.011799,2.499544,-0.56966,-0.057943,202697.0
random_top30_seed,Random Top30 seed 202698,1,0.011799,2.499544,-0.56966,-0.057943,202698.0
random_top30_seed,Random Top30 seed 202699,1,0.011799,2.499544,-0.56966,-0.057943,202699.0
