model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,kind,seed
Shuffled selected-ledger seed2030,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2030.0
Shuffled selected-ledger seed2031,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2031.0
Shuffled selected-ledger seed2032,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2032.0
Shuffled selected-ledger seed2033,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2033.0
Shuffled selected-ledger seed2034,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2034.0
Shuffled selected-ledger seed2035,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2035.0
Shuffled selected-ledger seed2036,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2036.0
Shuffled selected-ledger seed2037,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2037.0
Shuffled selected-ledger seed2038,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2038.0
Shuffled selected-ledger seed2039,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2039.0
Shuffled selected-ledger seed2040,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2040.0
Shuffled selected-ledger seed2041,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2041.0
Shuffled selected-ledger seed2042,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2042.0
Shuffled selected-ledger seed2043,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2043.0
Shuffled selected-ledger seed2044,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2044.0
Shuffled selected-ledger seed2045,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2045.0
Shuffled selected-ledger seed2046,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2046.0
Shuffled selected-ledger seed2047,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2047.0
Shuffled selected-ledger seed2048,557,0.000118,0.000335,0.005947,2.499544,4.072577,0.739481,-0.008042,-0.000571,0.669659,shuffled_selected_ledger,2048.0
