model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,kind,seed
Random Top30 seed2069,557,0.0026526430512146992,0.023352457302693537,0.13369320978122085,0.8064203808784197,1.1878199486884264,0.255215111409182,-0.5238451949143121,-0.049759960816352665,0.5673249551166966,random_top30,2069.0
Random Top30 seed2070,557,0.0026173311428945535,0.022827096117726715,0.13191348960188548,0.8139978793779673,1.233170353628566,0.25811024689548473,-0.5110742064235076,-0.04829511327447281,0.5457809694793537,random_top30,2070.0
Random Top30 seed2071,557,0.002304278807420861,0.022575478191049547,0.11613565189401139,0.7246250370516918,1.0887802531758506,0.22765230302958867,-0.5101448584024071,-0.04767609503040356,0.5619389587073609,random_top30,2071.0
Random Top30 seed2072,557,0.00280149688227587,0.022303690253836432,0.14119544286670385,0.8917203680120885,1.325807493659595,0.2912854511892127,-0.48473221813947165,-0.047709831323496814,0.5745062836624776,random_top30,2072.0
Random Top30 seed2073,557,0.002633708091519599,0.022503597779175155,0.13273888781258777,0.8308659271848798,1.2907297939206213,0.26524651819323175,-0.5004359292508702,-0.04695837527815074,0.5511669658886894,random_top30,2073.0
Random Top30 seed2074,557,0.003002879538502541,0.022514821919043665,0.15134512874052808,0.9468575852492276,1.4370342605800357,0.298811788001738,-0.5064898200724524,-0.047302337500044984,0.5727109515260324,random_top30,2074.0
Random Top30 seed2075,557,0.002647196880460369,0.022703599190961526,0.13341872277520261,0.8277645045430895,1.2057760057472484,0.2648817255029124,-0.5036916854943082,-0.0492199891675818,0.5709156193895871,random_top30,2075.0
Shuffled selected-ledger seed2026,557,0.00011799111396761504,0.00033512261538657436,0.005946752143967797,2.499544269039535,4.072577172963779,0.7394809365572391,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2026.0
Shuffled selected-ledger seed2027,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2027.0
Shuffled selected-ledger seed2028,557,0.00011799111396761498,0.00033512261538657436,0.005946752143967795,2.4995442690395335,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2028.0
Shuffled selected-ledger seed2029,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2029.0
Shuffled selected-ledger seed2030,557,0.00011799111396761501,0.0003351226153865743,0.0059467521439677965,2.4995442690395344,4.072577172963779,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2030.0
Shuffled selected-ledger seed2031,557,0.00011799111396761498,0.00033512261538657436,0.005946752143967795,2.4995442690395335,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2031.0
Shuffled selected-ledger seed2032,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2032.0
Shuffled selected-ledger seed2033,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2033.0
Shuffled selected-ledger seed2034,557,0.00011799111396761498,0.00033512261538657436,0.005946752143967795,2.4995442690395335,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2034.0
Shuffled selected-ledger seed2035,557,0.00011799111396761498,0.00033512261538657436,0.005946752143967795,2.4995442690395335,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2035.0
Shuffled selected-ledger seed2036,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2036.0
Shuffled selected-ledger seed2037,557,0.00011799111396761498,0.0003351226153865743,0.005946752143967795,2.499544269039534,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2037.0
Shuffled selected-ledger seed2038,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963779,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2038.0
Shuffled selected-ledger seed2039,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2039.0
Shuffled selected-ledger seed2040,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2040.0
Shuffled selected-ledger seed2041,557,0.00011799111396761504,0.00033512261538657436,0.005946752143967797,2.499544269039535,4.072577172963779,0.7394809365572391,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2041.0
Shuffled selected-ledger seed2042,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2042.0
Shuffled selected-ledger seed2043,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2043.0
Shuffled selected-ledger seed2044,557,0.00011799111396761498,0.0003351226153865743,0.005946752143967795,2.499544269039534,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2044.0
Shuffled selected-ledger seed2045,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2045.0
Shuffled selected-ledger seed2046,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963778,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2046.0
Shuffled selected-ledger seed2047,557,0.00011799111396761504,0.00033512261538657436,0.005946752143967797,2.499544269039535,4.072577172963779,0.7394809365572391,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2047.0
Shuffled selected-ledger seed2048,557,0.00011799111396761501,0.00033512261538657436,0.0059467521439677965,2.499544269039534,4.072577172963779,0.739480936557239,-0.00804179235729019,-0.000571153969880016,0.6696588868940754,shuffled_selected_ledger,2048.0
Shuffled selected-ledger seed2049,557,0.00011799111396761498,0.0003351226153865743,0.005946752143967795,2.499544269039534,4.072577172963778,0.7394809365572388,-0.00804179235729019,-0.0005711539698800161,0.6696588868940754,shuffled_selected_ledger,2049.0
