Date,model,nav,drawdown
2024-02-22,PPO Gate,2.9721549549148714,0.0
2024-02-23,PPO Gate,3.087735338942092,0.0
2024-02-26,PPO Gate,3.137950885097771,0.0
2024-02-27,PPO Gate,3.6498804059579126,0.0
2024-02-28,PPO Gate,4.080656231485908,0.0
2024-02-29,PPO Gate,4.186895296144894,0.0
2024-03-01,PPO Gate,4.882815394568266,0.0
2024-03-04,PPO Gate,5.424784489948113,0.0
2024-03-05,PPO Gate,5.591128679364638,0.0
2024-03-06,PPO Gate,5.542315742644496,-0.008730426273374392
2024-03-07,PPO Gate,5.4986412619122484,-0.01654181521411513
2024-03-08,PPO Gate,5.533347709677613,-0.010334401692502437
2024-03-11,PPO Gate,5.981783076803683,0.0
2024-03-12,PPO Gate,6.1576681328365,0.0
2024-03-13,PPO Gate,6.204375246892894,0.0
2024-03-14,PPO Gate,5.899045314401757,-0.04921203511087502
2024-03-15,PPO Gate,5.927271466224255,-0.044662640417729604
2024-03-18,PPO Gate,5.589712501781038,-0.09906924076194057
2024-03-19,PPO Gate,5.61233391362221,-0.0954231989058324
2024-03-20,PPO Gate,5.191011238872639,-0.16333054783037837
2024-03-21,PPO Gate,5.116257944744165,-0.1753790283225778
2024-03-22,PPO Gate,5.170438941847472,-0.16664632036291005
2024-03-25,PPO Gate,5.292786881655494,-0.14692669752589793
2024-03-26,PPO Gate,6.0307752762458895,-0.02798025002339155
2024-03-27,PPO Gate,5.573795782453564,-0.10163464319072579
2024-03-28,PPO Gate,5.534596968495501,-0.10795257406985714
2024-03-29,PPO Gate,5.504337829791416,-0.11282963864122375
2024-04-01,PPO Gate,5.559237665862154,-0.10398107067328333
2024-04-02,PPO Gate,5.414758622500481,-0.1272677091521579
2024-04-03,PPO Gate,5.144030752671905,-0.17090270204917113
2024-04-08,PPO Gate,5.111460719718563,-0.17615222865858327
2024-04-09,PPO Gate,5.021385511829213,-0.19067024285098066
2024-04-10,PPO Gate,4.986955771814498,-0.19621951068934318
2024-04-11,PPO Gate,4.920408677223053,-0.20694534398331932
2024-04-12,PPO Gate,4.79299746625667,-0.22748104756285203
2024-04-15,PPO Gate,4.759189194093022,-0.23293014933672995
2024-04-16,PPO Gate,4.755954243335557,-0.23345154764497777
2024-04-17,PPO Gate,4.7529341109955014,-0.23393832225480948
2024-04-18,PPO Gate,4.727270244117779,-0.23807473661668654
2024-04-19,PPO Gate,4.768884514045013,-0.23136749079881413
2024-04-22,PPO Gate,5.451908474193361,-0.12128002300898266
2024-04-23,PPO Gate,5.691629900157536,-0.08264254277530003
2024-04-24,PPO Gate,6.081135158426754,-0.019863416308976145
2024-04-25,PPO Gate,6.450863721897835,0.0
2024-04-26,PPO Gate,6.260182966244477,-0.02955894960330363
2024-04-29,PPO Gate,6.925960427273235,0.0
2024-04-30,PPO Gate,7.283095678395875,0.0
2024-05-06,PPO Gate,7.387150122461204,0.0
2024-05-07,PPO Gate,7.538247248002071,0.0
2024-05-08,PPO Gate,7.357533260914258,-0.023972945055060202
2024-05-09,PPO Gate,6.942362822862622,-0.07904814017573936
2024-05-10,PPO Gate,6.847645312477197,-0.09161306505406941
2024-05-13,PPO Gate,6.725773088350297,-0.10778024823570376
